Time: 2024-06-13 16:23:04, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:23:10, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:23:15, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:23:20, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:23:26, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 16:23:31, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:23:36, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:23:42, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:23:47, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:23:52, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:23:57, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:24:03, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:24:08, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:24:13, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:24:19, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:24:24, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:24:29, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:24:35, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:24:40, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:24:48, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:24:53, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:24:58, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:25:04, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:25:09, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:25:26, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:25:32, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:25:37, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 16:25:42, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 16:26:01, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:26:06, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:26:11, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:26:17, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:26:22, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:26:27, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:26:33, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:26:38, Temperature: 28.00 C, Humidity: 63.00 %
Time: 2024-06-13 16:26:43, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 16:26:48, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 16:27:13, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 16:27:19, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 16:27:24, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 16:27:29, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 16:27:35, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 16:27:52, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 16:27:58, Temperature: 28.00 C, Humidity: 64.00 %
Time: 2024-06-13 16:29:58, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:30:03, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:30:08, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:30:14, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:30:19, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:30:24, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:30:42, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:30:48, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:30:53, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:30:58, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:31:04, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:31:09, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:31:14, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:31:20, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:31:25, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:31:30, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:31:35, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:31:41, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:31:46, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:31:51, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:31:57, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:34:56, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:35:01, Temperature: 28.00 C, Humidity: 66.00 %
Time: 2024-06-13 16:35:06, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:35:12, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:35:29, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:35:35, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:35:40, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:35:45, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:35:53, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:35:59, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:36:04, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:36:09, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:36:14, Temperature: 28.00 C, Humidity: 65.00 %
Time: 2024-06-13 16:36:20, Temperature: 28.00 C, Humidity: 64.00 %
